STORE,STORE_TYPE,Open Date,Sales,Location
487,S,19990619,132767.5117,"33.872071,-118.351012"
488,S,19-Aug-00,110896.4082,"33.834657,-118.071517"
489,S,13-Oct-20,98682.3793,"38.105735,-122.218078"
490,S,1/5/2019,72252.09989,"34.105967,-117.820043"
491,S,2/21/2019,114081.9832,"32.751145,-117.203262"
492,S,12-Apr-19,146178.7895,"32.579163,-117.036706"
493,S,20190815,117577.9112,"32.606314,-117.079047"
494,S,12-Jul-19,93274.85253,"33.909247,-117.435357"
495,S,13-Feb-17,156622.0476,"37.593929,-120.992994"
496,S,3/16/2018,101665.2611,"33.185273,-117.328516"
497,S,5/6/2017,104665.0592,"34.255995,-118.57874"
498,S,5/15/2021,126227.3804,"33.209573,-117.034028"
499,S,3/21/2018,62310.89243,"40.934066,-124.100271"
500,S,6/9/2017,97092.91466,"36.188346,-115.259516"
501,S,20141224,120973.1875,"38.926804,-119.98478"
502,S,27-Apr-18,82612.16623,"33.94032,-117.966953"
503,S,17-Jun-14,132809.9232,"33.937889,-117.180669"
504,S,20150727,125677.0579,"34.223087,-119.039357"
505,S,10-May-14,163234.4356,"37.990497,-121.317471"
506,S,20130822,63288.9548,"36.685462,-121.795949"
507,S,18-Feb-15,104808.1225,"36.540118,-119.287472"
508,S,7/31/2014,140425.7479,"33.794884,-116.387678"
509,S,20140423,97977.81673,"38.370067,-120.800884"
510,S,8/18/2017,122153.218,"33.929034,-118.253266"
511,S,8/3/2015,112280.5819,"33.902387,-118.114807"
512,S,20191217,69722.75531,"37.37637,-118.42176"
513,S,17-Oct-14,94101.03098,"37.324008,-121.922173"
514,S,11-Apr-16,147947.0228,"36.837125,-119.691404"
515,S,20150213,83494.89335,"38.583495,-121.315471"
516,S,8/21/2015,104857.7234,"36.910877,-121.759094"
517,S,19-Jul-19,58154.98825,"33.75477,-118.308616"
518,S,31-Jul-15,89796.8678,"35.682131,-119.23576"
519,S,8/28/2014,113978.6731,"34.071444,-117.139192"
520,S,20150919,55485.05741,"41.702703,-122.646243"
521,S,5-May-17,97158.58603,"36.669976,-121.654837"
522,S,14-Feb-15,67512.22197,"40.781166,-124.181286"
523,S,4/29/2016,116481.435,"33.920728,-117.490238"
524,S,20-Jan-18,114597.5064,"32.808861,-116.958515"
525,S,20-May-18,91629.98711,"38.393903,-121.416594"
526,S,2-Jul-16,68958.20041,"36.418056,-121.319933"
527,S,20160827,91947.83171,"34.13115,-117.895737"
528,S,17-Dec-17,103830.483,"37.252933,-121.803208"
529,S,8/15/2015,69554.61969,"46.355259,-94.222482"
530,S,20160326,75535.54753,"28.535111,-81.310223"
531,S,6/13/2017,130883.2207,"33.860736,-118.149039"
532,S,6/20/2017,92749.1795,"33.921216,-118.098616"
533,S,8/31/2019,65942.69437,"33.901515,-118.25271"
534,S,20140428,115914.5587,"34.805983,-78.976793"
535,S,16-May-19,99811.72144,"40.139629,-74.707903"
536,S,20190809,77513.60302,"34.086614,-117.873676"
537,S,5-Aug-17,63829.42957,"42.005231,-88.006047"
538,S,24-Aug-07,183728.7965,"18.405155,-66.088203"
539,S,20180822,75412.11919,"33.95714,-118.020866"
540,S,20190817,57100.31935,"39.026204,-122.916488"
541,S,20-Aug-19,69093.34931,"33.933948,-117.932548"
542,S,20210401,119091.5547,"33.786137,-117.00754"
543,S,20200919,86482.97087,"38.049736,-121.374044"
